term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
findings relation,abstract,,en,,,non,"Findings relation is a concept used in the fields of linguistics, translation, or education."
findings relation markedness,abstract,,fr,,,non,"Findings relation markedness est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
fle équitablement,abstract,,fr,,,non,"Fle équitablement est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
fle équitablement répartis,abstract,,fr,,,non,"Fle équitablement répartis est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
focalisation au,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Focalisation au refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui,"Focalisation au refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental."
focalisation au niveau,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Focalisation au niveau refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui,"Focalisation au niveau refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental."
focalisation dans,abstract,,fr,,,non,"Focalisation dans est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
focalisation dans le,abstract,,fr,,,non,"Focalisation dans le est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
focuses teaching,abstract,,en,,,non,"Focuses teaching is a concept used in the fields of linguistics, translation, or education."
focuses teaching english,abstract,,en,,,non,"Focuses teaching english is a concept used in the fields of linguistics, translation, or education."
followed translators,abstract,,en,,,non,"Followed translators is a concept used in the fields of linguistics, translation, or education."
followed translators transmit,abstract,,en,,,non,"Followed translators transmit is a concept used in the fields of linguistics, translation, or education."
following atr,abstract,,en,,,non,"Following atr is a concept used in the fields of linguistics, translation, or education."
following atr vowels,abstract,,en,,,non,"Following atr vowels is a concept used in the fields of linguistics, translation, or education."
following recent,abstract,,en,"Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.","Following recent refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.",oui,"Following recent refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories."
following recent trends,abstract,,en,"Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.","Following recent trends refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories.",oui,"Following recent trends refers to Despite some limitations and caveats, we argue that pillai scores and similar methods for the intrinsic evaluation of l2 pronunciation can be used, (i) to avoid direct comparisons of l2 users’ performance with native monolinguals, following recent trends in sla research; (ii) when comparable l1 data are not available; (iii) within longitudinal studies to track the progressive development of new phonological categories."
