term,source,definition,langue,auto_definition,definition_finale,valide_auto
futurs spécialistes,abstract,,fr,"En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral","Futurs spécialistes refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral.",oui
futurs spécialistes en,abstract,,fr,"En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral","Futurs spécialistes en refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral.",oui
general ayuda,abstract,,fr,,"General ayuda est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
general ayuda promover,abstract,,es,,"General ayuda promover es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
generalización transferencia,abstract,,es,,"Generalización transferencia es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
generalización transferencia llevamos,abstract,,es,,"Generalización transferencia llevamos es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
generalization transfer,abstract,,fr,,"Generalization transfer est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
generalization transfer carry,abstract,,fr,,"Generalization transfer carry est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
generation linguistically,abstract,,en,,"Generation linguistically is a concept used in the fields of linguistics, translation, or education.",non
generation linguistically enriched,abstract,,en,,"Generation linguistically enriched is a concept used in the fields of linguistics, translation, or education.",non
gestes correctifs,abstract,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Gestes correctifs refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui
gestes correctifs appropriés,abstract,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Gestes correctifs appropriés refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui
gestes correctifs inadaptés,abstract,,fr,"Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale","Gestes correctifs inadaptés refers to Pour cela, nous avons mis en place un protocole pré-test/post-test dans trois conditions expérimentales : un groupe test qui a reçu des gestes correctifs appropriés aux erreurs réalisées, un groupe test qui a reçu des gestes correctifs inadaptés et un groupe contrôle qui n'a pas reçu de correction multimodale.",oui
gestualité corrective,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Gestualité corrective refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
gestualité corrective sur,abstract,,fr,Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental,Gestualité corrective sur refers to Nous présentons une réflexion méthodologique à la suite d' une expérimentation réalisée dans le cadre d’un projet interdisciplinaire où nous avons voulu tester l’impact de la gestualité corrective sur l’acquisition du segmental et du suprasegmental.,oui
